Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
507690,ORIBEVER,X,176.10,177.90,168.00,168.35,4945,8.49,91
538598,VISHAL,B,20.55,20.55,18.00,18.45,45123,8.49,458
517344,MINDTECK,T,139.30,140.00,135.75,136.10,6147,8.48,80
537536,DENISCHEM,XT,118.55,119.75,113.00,113.00,7345,8.47,84
538180,GOLDLINE,Z,0.54,0.54,0.53,0.54,1559423,8.41,1438
533217,HMVL,T,67.44,67.44,67.44,67.44,12479,8.41,30
509152,GRPLTD,T,3771.05,3800.00,3771.05,3771.05,223,8.41,16
531991,AMRAAGRI,X,0.78,0.80,0.76,0.79,1062099,8.39,759
530201,KALLAM,X,9.49,9.49,9.16,9.28,89788,8.35,146
539313,UTINIFTETF,B,2150.00,2159.30,2139.25,2139.25,388,8.33,39
532911,PARLEIND,X,7.79,7.79,6.92,7.30,112552,8.32,677
532699,ROHLTD,B,300.35,300.35,287.00,289.50,2849,8.32,263
500456,PASUPTAC,B,38.01,38.01,35.10,35.10,23122,8.32,304
540821,SADHNA,XT,4.54,4.58,4.38,4.52,184241,8.27,562
509874,SHALPAINTS,B,161.20,161.20,154.00,155.60,5259,8.23,200
514142,TTL,B,97.30,97.30,85.00,92.40,9301,8.23,159
530723,ASITCFIN,X,136.35,142.00,136.35,142.00,5860,8.17,26
523660,WATERBASE,B,86.76,89.15,82.40,82.50,9558,8.11,266
512441,ENBETRD,X,16.25,16.25,15.75,15.96,50673,8.10,123
532835,ICRA,A,5763.10,5763.10,5587.05,5695.00,143,8.10,67
538837,JSTL,X,63.00,64.80,60.00,60.00,13202,8.09,179
532654,MCLEODRUSS,T,22.11,22.90,21.55,21.60,37143,8.09,164
513117,AMFORG,XT,9.81,9.81,9.42,9.81,82792,8.08,228
504351,EMPOWER,XT,0.85,0.85,0.85,0.85,951475,8.08,126
531494,NAVKAR,X,6.43,6.59,6.20,6.35,126627,8.06,229
522091,UVDRHOR,XT,170.45,170.45,166.00,170.45,4731,8.06,43
532918,RATHIBAR,X,26.50,26.70,24.90,25.01,31780,8.05,131
532748,PFOCUS,B,85.25,85.25,79.45,82.53,9733,8.04,403
543416,ZODIAC,T,133.00,139.50,131.00,135.00,5861,8.00,143
532737,EMKAY,B,89.00,89.00,83.00,86.90,9374,7.97,300
533212,GKB,X,106.12,108.70,95.75,97.00,7906,7.97,139
526582,TPLPLAST,T,41.35,41.35,39.60,39.60,19777,7.91,88
540252,VSL,T,9.21,9.21,8.70,8.80,88243,7.90,364
500016,ARUNAHTEL,XT,19.19,19.84,18.25,18.90,41996,7.88,62
500650,EXCELINDUS,B,950.00,950.00,901.15,902.05,854,7.83,243
540654,GSTL,B,40.84,40.84,37.12,38.26,20008,7.83,119
502133,HEMACEM,XT,50.14,50.14,50.14,50.14,15580,7.81,119
536773,JPOLYINVST,B,466.55,484.05,464.75,468.25,1659,7.79,183
540702,LASA,T,28.70,28.85,27.86,27.87,27823,7.78,117
507410,WALCHANNAG,T,124.45,124.45,124.45,124.45,6256,7.78,52
526179,LUDLOWJUT,X,83.65,83.70,82.80,82.80,9326,7.75,70
531310,AVAILFC,X,145.00,145.00,125.00,139.00,5819,7.74,122
539991,CFEL,XT,142.50,142.50,136.00,136.00,5632,7.72,43
